posx	posy	smh	smd	smv	pupil_size
-13.402648999999998	-5.065182	-2.0	0.0	-2.0	5.203
-13.402648999999998	-5.06227	-2.0	0.0	-1.5	5.205
-13.402648999999998	-5.059359	-2.0	0.0	-1.0	5.205
-13.397086999999999	-5.059359	-2.0	0.0	-0.5	5.203
-13.394305	-5.059359	-2.0	0.0	0.0	5.201
-13.388742	-5.059359	-2.0	0.0	0.5	5.197
-13.388742	-5.06227	-2.0	0.0	1.0	5.196
-13.38596	-5.065182	-2.0	0.0	1.5	5.193
-13.383179	-5.068094	-2.0	0.0	2.0	5.193
-13.38596	-5.071005	-1.5	0.0	-2.0	5.194
-13.388742	-5.071005	-1.5	0.0	-1.5	5.195
-13.391523999999999	-5.076828	-1.5	0.0	-1.0	5.197
-13.397086999999999	-5.073917	-1.5	0.0	-0.5	5.197
-13.397086999999999	-5.068094	-1.5	0.0	0.0	5.197
-13.397086999999999	-5.06227	-1.5	0.0	0.5	5.197
-13.38596	-5.065182	-1.5	0.0	1.0	5.198
-13.374832999999999	-5.065182	-1.5	0.0	1.5	5.199
-13.363705	-5.065182	-1.5	0.0	2.0	5.2
-13.363705	-5.065182	-1.0	0.0	-2.0	5.202
-13.358141	-5.068094	-1.0	0.0	-1.5	5.204
-13.355357999999999	-5.073917	-1.0	0.0	-1.0	5.204
-13.352576000000001	-5.079739	-1.0	0.0	-0.5	5.203
-13.347010999999998	-5.085562	-1.0	0.0	0.0	5.203
-13.344228	-5.091385	-1.0	0.0	0.5	5.202
-13.344228	-5.091385	-1.0	0.0	1.0	5.201
-13.347010999999998	-5.091385	-1.0	0.0	1.5	5.201
-13.349793	-5.091385	-1.0	0.0	2.0	5.201
-13.352576000000001	-5.091385	-0.5	0.0	-2.0	5.2
-13.355357999999999	-5.0884730000000005	-0.5	0.0	-1.5	5.199
-13.358141	-5.082651	-0.5	0.0	-1.0	5.198
-13.358141	-5.073917	-0.5	0.0	-0.5	5.197
-13.360923000000001	-5.068094	-0.5	0.0	0.0	5.197
-13.360923000000001	-5.068094	-0.5	0.0	0.5	5.197
