subj,arch,appr,ArchAppr,rep,acc
1,1,1,1,1,0.658249018
1,1,1,1,2,0.669936621
1,1,1,1,3,0.674027514
1,1,1,1,4,0.667408834
1,1,1,1,5,0.733297973
1,1,1,1,6,0.677268618
1,1,1,1,7,0.678781185
1,1,1,1,8,0.721334832
1,1,1,1,9,0.705084632
1,1,1,1,10,0.658868694
1,1,2,2,1,0.916523385
1,1,2,2,2,0.943964495
1,1,2,2,3,0.93684964
1,1,2,2,4,0.922623199
1,1,2,2,5,0.895873521
1,1,2,2,6,0.903614024
1,1,2,2,7,0.982811674
1,1,2,2,8,0.915791412
1,1,2,2,9,1.001645156
1,1,2,2,10,1.001497945
1,2,1,3,1,0.541911524
1,2,1,3,2,0.518716116
1,2,1,3,3,0.500044758
1,2,1,3,4,0.509640546
1,2,1,3,5,0.521693187
1,2,1,3,6,0.522636541
1,2,1,3,7,0.50035501
1,2,1,3,8,0.510566463
1,2,1,3,9,0.530622415
1,2,1,3,10,0.489509205
1,2,2,4,1,0.523341488
1,2,2,4,2,0.528200778
1,2,2,4,3,0.532533141
1,2,2,4,4,0.514525517
1,2,2,4,5,0.519609652
1,2,2,4,6,0.514193343
1,2,2,4,7,0.535037637
1,2,2,4,8,0.531388182
1,2,2,4,9,0.512371094
1,2,2,4,10,0.534616663
2,1,1,1,1,0.475546676
2,1,1,1,2,0.479436361
2,1,1,1,3,0.47961103
2,1,1,1,4,0.494028177
2,1,1,1,5,0.484721299
2,1,1,1,6,0.484488353
2,1,1,1,7,0.493266725
2,1,1,1,8,0.48962453
2,1,1,1,9,0.48344033
2,1,1,1,10,0.484298681
2,1,2,2,1,0.546116487
2,1,2,2,2,0.537811351
2,1,2,2,3,0.548345818
2,1,2,2,4,0.552453309
2,1,2,2,5,0.530306903
2,1,2,2,6,0.554631698
2,1,2,2,7,0.539769912
2,1,2,2,8,0.546928241
2,1,2,2,9,0.56485899
2,1,2,2,10,0.550602416
2,2,1,3,1,0.390379357
2,2,1,3,2,0.393547333
2,2,1,3,3,0.392851777
2,2,1,3,4,0.396962993
2,2,1,3,5,0.39428565
2,2,1,3,6,0.384870206
2,2,1,3,7,0.394378579
2,2,1,3,8,0.391582537
2,2,1,3,9,0.392126285
2,2,1,3,10,0.389696635
2,2,2,4,1,0.400396445
2,2,2,4,2,0.400007043
2,2,2,4,3,0.399971369
2,2,2,4,4,0.392027036
2,2,2,4,5,0.397127627
2,2,2,4,6,0.399976549
2,2,2,4,7,0.392926773
2,2,2,4,8,0.397769407
2,2,2,4,9,0.402193628
2,2,2,4,10,0.399468178
3,1,1,1,1,0.932757518
3,1,1,1,2,0.90096491
3,1,1,1,3,0.896512882
3,1,1,1,4,0.869291668
3,1,1,1,5,0.917733402
3,1,1,1,6,0.93642201
3,1,1,1,7,0.93392389
3,1,1,1,8,0.897498986
3,1,1,1,9,0.927067321
3,1,1,1,10,0.94530457
3,1,2,2,1,1.085799312
3,1,2,2,2,1.067455924
3,1,2,2,3,1.052216614
3,1,2,2,4,1.058563182
3,1,2,2,5,1.065727025
3,1,2,2,6,1.076131829
3,1,2,2,7,1.043909213
3,1,2,2,8,1.056739978
3,1,2,2,9,1.05835439
3,1,2,2,10,1.073140715
3,2,1,3,1,0.813378635
3,2,1,3,2,0.850329212
3,2,1,3,3,0.853773746
3,2,1,3,4,0.829656655
3,2,1,3,5,0.857169375
3,2,1,3,6,0.827497609
3,2,1,3,7,0.824917314
3,2,1,3,8,0.798236935
3,2,1,3,9,0.831749246
3,2,1,3,10,0.831742292
3,2,2,4,1,0.829399156
3,2,2,4,2,0.827189648
3,2,2,4,3,0.848468953
3,2,2,4,4,0.831354985
3,2,2,4,5,0.835142664
3,2,2,4,6,0.839359415
3,2,2,4,7,0.86707956
3,2,2,4,8,0.832172899
3,2,2,4,9,0.845537624
3,2,2,4,10,0.843295394
4,1,1,1,1,0.994192495
4,1,1,1,2,1.03475822
4,1,1,1,3,0.988570087
4,1,1,1,4,1.058603552
4,1,1,1,5,1.011883608
4,1,1,1,6,0.983433698
4,1,1,1,7,1.016512273
4,1,1,1,8,0.991579129
4,1,1,1,9,0.985591517
4,1,1,1,10,0.944338315
4,1,2,2,1,1.099532369
4,1,2,2,2,1.081970294
4,1,2,2,3,1.078699511
4,1,2,2,4,1.088372089
4,1,2,2,5,1.105051554
4,1,2,2,6,1.090795749
4,1,2,2,7,1.067548954
4,1,2,2,8,1.066562021
4,1,2,2,9,1.045945503
4,1,2,2,10,1.117176862
4,2,1,3,1,0.778457492
4,2,1,3,2,0.738307643
4,2,1,3,3,0.761009772
4,2,1,3,4,0.763846904
4,2,1,3,5,0.765995315
4,2,1,3,6,0.745528677
4,2,1,3,7,0.747757334
4,2,1,3,8,0.744584748
4,2,1,3,9,0.733538146
4,2,1,3,10,0.753270509
4,2,2,4,1,0.713364824
4,2,2,4,2,0.699423664
4,2,2,4,3,0.700870618
4,2,2,4,4,0.725798764
4,2,2,4,5,0.706889295
4,2,2,4,6,0.704946139
4,2,2,4,7,0.710823271
4,2,2,4,8,0.695172463
4,2,2,4,9,0.725575737
4,2,2,4,10,0.696581475
5,1,1,1,1,0.556620634
5,1,1,1,2,0.572728046
5,1,1,1,3,0.576366304
5,1,1,1,4,0.551358568
5,1,1,1,5,0.551698832
5,1,1,1,6,0.579136033
5,1,1,1,7,0.548612957
5,1,1,1,8,0.551557406
5,1,1,1,9,0.55188916
5,1,1,1,10,0.579174875
5,1,2,2,1,0.674193635
5,1,2,2,2,0.683264599
5,1,2,2,3,0.68641723
5,1,2,2,4,0.677859359
5,1,2,2,5,0.723877282
5,1,2,2,6,0.691402736
5,1,2,2,7,0.701643505
5,1,2,2,8,0.700413722
5,1,2,2,9,0.682425908
5,1,2,2,10,0.701912005
5,2,1,3,1,0.474836792
5,2,1,3,2,0.4949892
5,2,1,3,3,0.473460821
5,2,1,3,4,0.464803535
5,2,1,3,5,0.473274327
5,2,1,3,6,0.47559685
5,2,1,3,7,0.462285536
5,2,1,3,8,0.500138529
5,2,1,3,9,0.46508522
5,2,1,3,10,0.485332589
5,2,2,4,1,0.508765083
5,2,2,4,2,0.444702912
5,2,2,4,3,0.478145882
5,2,2,4,4,0.487427876
5,2,2,4,5,0.475097242
5,2,2,4,6,0.444777214
5,2,2,4,7,0.458379196
5,2,2,4,8,0.448759423
5,2,2,4,9,0.464049894
5,2,2,4,10,0.457954235
6,1,1,1,1,1.294052959
6,1,1,1,2,1.336158266
6,1,1,1,3,1.436054202
6,1,1,1,4,1.369622818
6,1,1,1,5,1.326803841
6,1,1,1,6,1.270260956
6,1,1,1,7,1.326450268
6,1,1,1,8,1.268886024
6,1,1,1,9,1.373880181
6,1,1,1,10,1.318053656
6,1,2,2,1,1.536028194
6,1,2,2,2,1.544986178
6,1,2,2,3,1.571166113
6,1,2,2,4,1.617500189
6,1,2,2,5,1.643175672
6,1,2,2,6,1.584047061
