subj,arch,appr,ArchAppr,rep,acc
1,1,1,1,1,0.854841658
1,1,1,1,2,0.836117623
1,1,1,1,3,0.750725427
1,1,1,1,4,0.828134145
1,1,1,1,5,0.839777438
1,1,1,1,6,0.834245796
1,1,1,1,7,0.854174613
1,1,1,1,8,0.786641846
1,1,1,1,9,0.802056473
1,1,1,1,10,0.79737865
2,1,1,1,1,0.560352104
2,1,1,1,2,0.55028871
2,1,1,1,3,0.551529577
2,1,1,1,4,0.574269415
2,1,1,1,5,0.545812166
2,1,1,1,6,0.554702225
2,1,1,1,7,0.54563263
2,1,1,1,8,0.564462746
2,1,1,1,9,0.579510723
2,1,1,1,10,0.550968067
3,1,1,1,1,1.245221138
3,1,1,1,2,1.19167881
3,1,1,1,3,1.20635345
3,1,1,1,4,1.238814976
3,1,1,1,5,1.229689008
3,1,1,1,6,1.24183979
3,1,1,1,7,1.158382645
3,1,1,1,8,1.229011121
3,1,1,1,9,1.254511833
3,1,1,1,10,1.19907103
4,1,1,1,1,1.138535612
4,1,1,1,2,1.140713876
4,1,1,1,3,1.145268177
4,1,1,1,4,1.230159835
4,1,1,1,5,1.12189913
4,1,1,1,6,1.195821461
4,1,1,1,7,1.135374957
4,1,1,1,8,1.138467612
4,1,1,1,9,1.166287576
4,1,1,1,10,1.213415079
5,1,1,1,1,0.613804205
5,1,1,1,2,0.671924956
5,1,1,1,3,0.622091522
5,1,1,1,4,0.619159551
5,1,1,1,5,0.675870312
5,1,1,1,6,0.667201165
5,1,1,1,7,0.608579416
5,1,1,1,8,0.656784119
5,1,1,1,9,0.648158078
5,1,1,1,10,0.653087599
6,1,1,1,1,1.525511827
6,1,1,1,2,1.640284064
6,1,1,1,3,1.613347324
6,1,1,1,4,1.507789666
6,1,1,1,5,1.601845043
6,1,1,1,6,1.55398313
6,1,1,1,7,1.612779459
6,1,1,1,8,1.660100388
6,1,1,1,9,1.522942794
6,1,1,1,10,1.632305941
7,1,1,1,1,0.758202741
7,1,1,1,2,0.637302711
7,1,1,1,3,0.657189924
7,1,1,1,4,0.69665803
7,1,1,1,5,0.749404661
7,1,1,1,6,0.75412361
7,1,1,1,7,0.696544141
7,1,1,1,8,0.698634575
7,1,1,1,9,0.688817096
7,1,1,1,10,0.689652291
8,1,1,1,1,0.678642221
8,1,1,1,2,0.670870682
8,1,1,1,3,0.673684893
8,1,1,1,4,0.665532738
8,1,1,1,5,0.668559397
8,1,1,1,6,0.695363578
8,1,1,1,7,0.680509966
8,1,1,1,8,0.666210352
8,1,1,1,9,0.651606671
8,1,1,1,10,0.710079335
10,1,1,1,1,0.862663951
10,1,1,1,2,0.881559356
10,1,1,1,3,0.95754535
10,1,1,1,4,0.888070666
10,1,1,1,5,0.909424642
10,1,1,1,6,0.86965894
10,1,1,1,7,0.907721545
10,1,1,1,8,0.896870138
10,1,1,1,9,0.88943362
10,1,1,1,10,0.975982991
11,1,1,1,1,0.851262968
11,1,1,1,2,0.837023358
11,1,1,1,3,0.879131678
11,1,1,1,4,0.879292071
11,1,1,1,5,0.884188456
11,1,1,1,6,0.817338695
11,1,1,1,7,0.89810379
11,1,1,1,8,0.908309426
11,1,1,1,9,0.855753862
11,1,1,1,10,0.875810784
12,1,1,1,1,0.67793999
12,1,1,1,2,0.753852103
12,1,1,1,3,0.692120794
12,1,1,1,4,0.676697259
12,1,1,1,5,0.689318889
12,1,1,1,6,0.669443551
12,1,1,1,7,0.705188243
12,1,1,1,8,0.702973841
12,1,1,1,9,0.697449924
12,1,1,1,10,0.704983978
13,1,1,1,1,0.898313547
13,1,1,1,2,0.884705552
13,1,1,1,3,0.884230287
13,1,1,1,4,0.913365452
13,1,1,1,5,0.908466155
13,1,1,1,6,0.893439843
13,1,1,1,7,1.013037053
13,1,1,1,8,0.946838099
13,1,1,1,9,0.893276627
13,1,1,1,10,0.869140445
14,1,1,1,1,0.97202048
14,1,1,1,2,0.931337194
14,1,1,1,3,1.002758728
14,1,1,1,4,0.982795102
14,1,1,1,5,1.057634357
14,1,1,1,6,0.95382249
14,1,1,1,7,0.986400857
14,1,1,1,8,0.921926868
14,1,1,1,9,1.044638094
14,1,1,1,10,1.026952364
15,1,1,1,1,0.750443994
15,1,1,1,2,0.761311321
15,1,1,1,3,0.787003077
15,1,1,1,4,0.747512706
15,1,1,1,5,0.899552016
15,1,1,1,6,0.782116344
15,1,1,1,7,0.740475621
15,1,1,1,8,0.801858419
15,1,1,1,9,0.782215137
15,1,1,1,10,0.748704916
16,1,1,1,1,1.102603676
16,1,1,1,2,1.085087831
16,1,1,1,3,0.994842759
16,1,1,1,4,1.08658793
16,1,1,1,5,1.099584179
16,1,1,1,6,1.107006851
16,1,1,1,7,1.220425002
16,1,1,1,8,0.992771452
16,1,1,1,9,1.057817142
16,1,1,1,10,1.077654955
17,1,1,1,1,0.942290933
17,1,1,1,2,0.932982318
17,1,1,1,3,0.852868228
17,1,1,1,4,0.812453135
17,1,1,1,5,0.847996478
17,1,1,1,6,0.835452284
17,1,1,1,7,0.85942668
17,1,1,1,8,0.912501394
17,1,1,1,9,0.886277732
17,1,1,1,10,0.82721071
18,1,1,1,1,0.58620312
18,1,1,1,2,0.592260944
18,1,1,1,3,0.567136387
18,1,1,1,4,0.586968789
18,1,1,1,5,0.574003177
18,1,1,1,6,0.655696532
18,1,1,1,7,0.570947478
18,1,1,1,8,0.586653908
18,1,1,1,9,0.598895603
18,1,1,1,10,0.557005707
19,1,1,1,1,0.885313052
19,1,1,1,2,0.861941177
19,1,1,1,3,0.853981543
19,1,1,1,4,0.999497238
19,1,1,1,5,0.854731121
19,1,1,1,6,0.82277016
19,1,1,1,7,0.792757833
19,1,1,1,8,0.816824871
19,1,1,1,9,0.830333668
19,1,1,1,10,0.970157719
20,1,1,1,1,1.065613602
20,1,1,1,2,1.074966163
20,1,1,1,3,1.080717249
20,1,1,1,4,1.103771069
20,1,1,1,5,1.123892312
20,1,1,1,6,1.155858894
20,1,1,1,7,1.094308364
20,1,1,1,8,1.152803826
20,1,1,1,9,1.110799114
20,1,1,1,10,1.125437017
21,1,1,1,1,0.658151794
21,1,1,1,2,0.662174524
21,1,1,1,3,0.669121982
21,1,1,1,4,0.665263012
21,1,1,1,5,0.670492604
21,1,1,1,6,0.656126969
21,1,1,1,7,0.645979329
21,1,1,1,8,0.63153978
21,1,1,1,9,0.662036687
21,1,1,1,10,0.665429199
22,1,1,1,1,0.756846895
22,1,1,1,2,0.730142296
22,1,1,1,3,0.69765751
22,1,1,1,4,0.793554588
22,1,1,1,5,0.724889659
22,1,1,1,6,0.705349863
22,1,1,1,7,0.722092596
22,1,1,1,8,0.734327039
22,1,1,1,9,0.738055669
22,1,1,1,10,0.71561528
23,1,1,1,1,0.70620722
23,1,1,1,2,0.716083827
23,1,1,1,3,0.688680669
23,1,1,1,4,0.699076694
23,1,1,1,5,0.725257269
